2077,233.0,662.5,20.1,-18.6,37.7,39.6,9,391
3130,234.0,503.0,21.2,-27.6,25.2,42.0,6,253
3171,234.0,524.7,21.2,43.5,11.0,42.0,7,325
4003,234.0,443.1,26.5,9.8,-55.7,52.5,,605
5110,235.5,620.1,32.8,40.1,14.5,65.4,7,340
1041,235.5,698.0,18.5,-21.5,10.0,36.8,,580
4025,236.0,591.0,26.5,-36.5,-65.3,52.9,1,39
4169,236.0,472.0,26.5,52.2,26.8,52.9,10,442
4057,236.5,542.7,26.5,-39.3,-17.9,53.0,6,263
1040,238.0,506.2,18.5,-9.8,52.6,37.2,9,384
3024,239.0,702.3,21.2,-12.7,-61.3,42.9,1,19
3043,239.0,537.4,21.2,-57.2,-41.0,42.9,3,116
3045,239.0,544.8,21.2,-48.9,-55.0,42.9,3,117
5027,239.0,767.4,32.8,-17.0,-6.8,66.3,5,230
3170,239.0,525.2,21.2,40.0,3.0,42.9,7,324
4088,239.0,504.0,26.5,8.0,70.2,53.6,12,493
5123,240.0,664.6,32.8,3.8,35.2,66.6,8,374
5117,240.0,584.5,32.8,46.7,25.0,66.6,10,454
3032,240.5,377.9,21.2,-16.4,-48.7,43.1,2,70
4151,240.5,641.3,26.5,27.4,-27.7,53.9,4,196
2022,240.5,576.1,20.1,-40.1,-66.9,40.9,,585
4081,241.0,534.8,26.5,-12.0,49.2,54.0,9,405
5035,241.5,694.3,32.8,42.4,36.4,67.0,10,452
5082,242.5,702.8,32.8,29.6,50.9,67.3,11,477
3009,243.0,605.8,21.2,3.1,-62.2,43.6,1,17
2153,243.0,363.1,20.1,51.4,-4.8,41.3,7,300
1031,244.0,731.4,18.5,-15.9,-63.7,38.2,1,7
3027,244.0,513.0,21.2,-28.0,-62.9,43.7,1,21
4016,244.0,751.0,26.5,-12.4,-65.6,54.7,1,34
3111,244.0,398.0,21.2,6.4,-41.6,43.7,2,75
4164,244.0,491.8,26.5,-60.4,-38.0,54.7,3,144
3066,244.0,553.9,21.2,-44.2,30.6,43.7,6,250
2074,244.0,700.1,20.1,-12.1,41.5,41.5,9,388
5069,244.0,619.6,32.8,46.9,74.8,67.7,14,564
5099,245.0,694.8,32.8,30.6,12.8,68.0,8,372
4121,245.0,643.4,26.5,18.9,52.2,54.9,11,469
3150,246.0,370.5,21.2,49.4,-7.8,44.1,7,309
4126,246.5,745.7,26.5,20.6,41.5,55.3,8,361
2068,248.0,631.2,20.1,-23.5,32.4,42.2,9,385
4024,249.0,285.7,26.5,-4.7,-46.3,55.8,2,81
4083,249.0,453.7,26.5,-19.6,57.5,55.8,9,406
5103,250.0,558.1,32.8,39.5,8.3,69.4,7,335
1015,250.0,485.0,18.5,-7.8,55.5,39.1,9,381
5059,250.0,548.6,32.8,14.6,82.6,69.4,13,517
5016,250.5,492.4,32.8,-28.0,-48.3,69.5,2,90
5096,251.5,578.6,32.8,15.2,-24.8,69.8,4,205
4098,251.5,706.0,26.5,40.2,80.4,56.4,14,546
2174,251.5,665.2,20.1,35.2,15.2,42.8,,591
4072,254.0,598.9,26.5,-36.2,-14.3,56.9,6,278
3123,254.0,677.9,21.2,27.1,26.5,45.5,8,356
4004,254.0,490.3,26.5,10.7,-60.2,56.9,,606
4073,254.0,601.7,26.5,-25.7,-10.5,56.9,,613
206,254.5,0.0,18.5,-1.3,35.0,39.8,,640
403,254.5,0.0,21.2,23.1,36.7,45.6,,643
3147,255.0,548.6,21.2,37.3,-10.4,45.7,4,187
3156,255.0,365.7,21.2,53.1,-1.0,45.7,7,313
4138,255.0,734.1,26.5,24.7,22.5,57.2,8,364
4079,255.0,657.2,26.5,-17.9,44.0,57.2,9,403
5079,255.0,621.2,32.8,24.3,83.5,70.8,13,520
3001,255.5,453.2,21.2,8.4,-38.7,45.8,2,64
4030,256.5,571.3,26.5,-46.3,-51.8,57.5,3,123
3155,257.5,352.5,21.2,54.9,-4.2,46.2,7,312
4140,260.0,561.8,26.5,-31.5,22.5,58.3,6,279
2086,263.0,593.1,20.1,14.7,54.1,44.7,12,486
3093,265.0,644.0,21.2,22.8,78.8,47.5,13,511
207,265.0,0.0,18.5,0.2,38.6,41.4,,641
2018,266.0,644.5,20.1,-10.7,-83.8,48.6,1,15
4076,266.0,686.4,26.5,-14.6,36.0,59.6,9,400
3096,267.5,614.3,21.2,19.0,78.1,48.0,13,513
4172,268.5,553.3,26.5,-41.0,-52.6,60.2,3,145
4160,268.5,587.8,26.5,-42.9,-23.7,60.2,6,280
5083,269.5,721.9,32.8,34.9,82.4,74.8,14,566
4006,270.0,585.1,26.5,4.7,-66.5,60.5,1,24
3002,270.0,435.1,21.2,10.6,-42.0,48.4,2,65
1039,270.0,622.2,18.5,-41.4,-29.6,42.2,3,104
3189,270.0,472.2,21.2,-47.0,-10.1,48.4,6,259
1020,270.0,638.1,18.5,-25.0,39.5,42.2,9,382
5070,270.0,628.6,32.8,46.3,68.8,75.0,14,565
3067,270.0,623.8,21.2,-26.4,29.7,48.4,,596
5056,273.5,789.2,32.8,18.7,36.1,75.9,8,368
5128,273.5,630.2,32.8,12.1,49.8,75.9,12,499
5084,276.0,518.3,32.8,13.0,-35.8,76.6,4,200
4056,276.0,557.6,26.5,-44.3,-19.3,61.9,6,262
3172,276.0,675.8,21.2,33.6,8.6,49.5,7,326
2089,276.0,551.7,20.1,9.6,65.1,46.9,12,489
3047,277.5,569.8,21.2,-63.1,-50.1,49.8,3,118
3190,279.0,422.9,21.2,-50.9,-4.8,50.0,6,260
3146,280.0,588.8,21.2,35.6,-14.0,50.2,4,186
4175,281.0,511.5,26.5,-2.1,67.0,63.0,,626
